,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10722,bottled water,coffee,dishes,onions,rolls/buns,root vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
10723,UHT-milk,bathroom cleaner,canned beer,chicken,hamburger meat,newspapers,soda,,,,,,,,,,,,,,,,,,,,,,,,,
10724,chicken,other vegetables,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10725,coffee,cream cheese,fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10726,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10727,brown bread,frozen meals,napkins,other vegetables,rolls/buns,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
10728,bottled beer,brown bread,chicken,frozen vegetables,newspapers,pork,red/blush wine,vinegar,whole milk,,,,,,,,,,,,,,,,,,,,,,,
10729,misc. beverages,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10730,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10731,cake bar,newspapers,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10732,beef,berries,hamburger meat,hygiene articles,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
10733,grapes,rolls/buns,salty snack,sausage,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
10734,chocolate,rolls/buns,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10735,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10736,citrus fruit,other vegetables,pip fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10737,artif. sweetener,bottled water,domestic eggs,shopping bags,sliced cheese,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
10738,bottled beer,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10739,coffee,curd cheese,frozen vegetables,fruit/vegetable juice,hard cheese,hygiene articles,ice cream,other vegetables,pastry,soft cheese,spread cheese,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,
10740,newspapers,pastry,sliced cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10741,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10742,citrus fruit,coffee,dessert,frozen meals,ham,popcorn,shopping bags,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
10743,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10744,bottled water,coffee,cream cheese,curd,flour,misc. beverages,newspapers,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
10745,root vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746,canned beer,shopping bags,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10747,bottled water,canned beer,curd,dish cleaner,margarine,roll products,white wine,,,,,,,,,,,,,,,,,,,,,,,,,
10748,bottled beer,bottled water,fruit/vegetable juice,napkins,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
10749,packaged fruit/vegetables,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10750,bottled water,cling film/bags,frozen vegetables,ice cream,root vegetables,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,
10751,beef,bottled water,chocolate,domestic eggs,fruit/vegetable juice,grapes,ham,newspapers,pastry,salty snack,shopping bags,whipped/sour cream,white bread,white wine,yogurt,,,,,,,,,,,,,,,,,
10752,UHT-milk,bottled beer,brown bread,canned beer,citrus fruit,long life bakery product,pork,soda,,,,,,,,,,,,,,,,,,,,,,,,
10753,beverages,cake bar,liqueur,misc. beverages,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
10754,rolls/buns,sausage,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10755,bottled water,citrus fruit,napkins,rolls/buns,sausage,soda,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,
10756,butter,cream cheese,frozen fish,root vegetables,shopping bags,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
10757,cream cheese,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10758,frankfurter,other vegetables,pastry,ready soups,rolls/buns,root vegetables,turkey,yogurt,,,,,,,,,,,,,,,,,,,,,,,,
10759,shopping bags,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10760,bottled beer,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10761,frankfurter,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10762,berries,detergent,newspapers,pickled vegetables,whipped/sour cream,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
10763,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10764,canned vegetables,frankfurter,pork,soda,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
10765,butter,chocolate,chocolate marshmallow,curd,dental care,dish cleaner,flour,frankfurter,hamburger meat,mustard,oil,rice,salty snack,sugar,whole milk,,,,,,,,,,,,,,,,,
10766,berries,beverages,coffee,root vegetables,shopping bags,soups,sugar,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
10767,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10768,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10769,frozen fish,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10770,newspapers,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10771,beef,berries,grapes,newspapers,potted plants,rolls/buns,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,
10772,coffee,instant coffee,rolls/buns,salty snack,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
10773,potted plants,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10774,dish cleaner,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10775,citrus fruit,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10776,bottled beer,herbs,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10777,candles,detergent,pastry,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10778,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10779,hamburger meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10780,chewing gum,other vegetables,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10781,rolls/buns,shopping bags,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10782,grapes,hard cheese,napkins,pork,shopping bags,soda,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,
10783,baking powder,berries,bottled water,butter,canned beer,dessert,fruit/vegetable juice,grapes,ice cream,misc. beverages,other vegetables,pastry,potted plants,salt,specialty chocolate,tropical fruit,whipped/sour cream,whole milk,yogurt,,,,,,,,,,,,,
10784,chewing gum,chicken,citrus fruit,other vegetables,pork,potted plants,whipped/sour cream,white bread,,,,,,,,,,,,,,,,,,,,,,,,
10785,chewing gum,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10786,bottled water,red/blush wine,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10787,baking powder,whipped/sour cream,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10788,coffee,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10789,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10790,ice cream,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10791,curd,domestic eggs,flour,misc. beverages,newspapers,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,
10792,frozen meals,newspapers,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10793,bottled water,coffee,dessert,domestic eggs,onions,rolls/buns,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
10794,finished products,fruit/vegetable juice,organic sausage,sliced cheese,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
10795,dog food,long life bakery product,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10796,brown bread,canned vegetables,domestic eggs,fruit/vegetable juice,other vegetables,root vegetables,rum,soda,tropical fruit,white bread,,,,,,,,,,,,,,,,,,,,,,
10797,other vegetables,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10798,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10799,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10800,cat food,oil,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10801,citrus fruit,frankfurter,fruit/vegetable juice,pastry,sliced cheese,specialty cheese,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,
10802,butter,canned fish,flower (seeds),pasta,softener,,,,,,,,,,,,,,,,,,,,,,,,,,,
10803,butter milk,frozen fish,other vegetables,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10804,canned beer,chocolate,pastry,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10805,brown bread,citrus fruit,packaged fruit/vegetables,rolls/buns,root vegetables,sliced cheese,white bread,yogurt,zwieback,,,,,,,,,,,,,,,,,,,,,,,
10806,UHT-milk,salt,shopping bags,soda,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
10807,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10808,canned vegetables,curd,spread cheese,sugar,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
10809,bottled beer,citrus fruit,dessert,frozen vegetables,fruit/vegetable juice,other vegetables,salty snack,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,
10810,bottled beer,brown bread,white wine,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10811,bottled beer,liquor,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10812,grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10813,other vegetables,pork,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10814,berries,candy,canned fish,chocolate,citrus fruit,cream cheese,domestic eggs,frozen vegetables,margarine,napkins,other vegetables,pastry,sausage,soups,whipped/sour cream,whole milk,yogurt,,,,,,,,,,,,,,,
10815,UHT-milk,brown bread,chicken,chocolate,cocoa drinks,coffee,flour,frankfurter,fruit/vegetable juice,long life bakery product,mayonnaise,mustard,other vegetables,pastry,pork,root vegetables,salty snack,seasonal products,tropical fruit,yogurt,,,,,,,,,,,,
10816,artif. sweetener,photo/film,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10817,bottled beer,butter,coffee,frankfurter,onions,processed cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,
10818,dessert,domestic eggs,pip fruit,root vegetables,shopping bags,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
10819,coffee,detergent,frankfurter,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10820,newspapers,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10821,domestic eggs,flower soil/fertilizer,hygiene articles,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10822,chocolate,dessert,flower (seeds),mayonnaise,oil,packaged fruit/vegetables,shopping bags,soda,waffles,,,,,,,,,,,,,,,,,,,,,,,
10823,bottled water,chicken,frozen vegetables,long life bakery product,other vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,
10824,baking powder,candy,cocoa drinks,coffee,cream cheese,curd,domestic eggs,napkins,pork,salty snack,sugar,waffles,whipped/sour cream,white bread,whole milk,yogurt,,,,,,,,,,,,,,,,
10825,citrus fruit,cleaner,coffee,cream cheese,curd,detergent,long life bakery product,napkins,newspapers,oil,other vegetables,pastry,vinegar,whipped/sour cream,whole milk,yogurt,,,,,,,,,,,,,,,,
10826,light bulbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10827,cream cheese,margarine,tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10828,cake bar,cleaner,curd,detergent,domestic eggs,frozen meals,house keeping products,potted plants,sausage,seasonal products,shopping bags,,,,,,,,,,,,,,,,,,,,,
10829,citrus fruit,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10830,other vegetables,roll products,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10831,bottled water,butter,chicken,cling film/bags,dog food,domestic eggs,frozen fish,frozen vegetables,fruit/vegetable juice,hard cheese,long life bakery product,napkins,other vegetables,pip fruit,rice,root vegetables,softener,specialty fat,tropical fruit,whipped/sour cream,white bread,whole milk,yogurt,,,,,,,,,
10832,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10833,beef,ice cream,newspapers,pork,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
10834,artif. sweetener,chocolate marshmallow,flour,margarine,organic products,other vegetables,pork,semi-finished bread,tropical fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,
10835,domestic eggs,hygiene articles,onions,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10836,baking powder,grapes,herbs,pip fruit,potted plants,root vegetables,seasonal products,shopping bags,tropical fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,
10837,bottled water,canned beer,cream cheese,shopping bags,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,
10838,berries,butter,domestic eggs,fruit/vegetable juice,hard cheese,hygiene articles,other vegetables,rolls/buns,root vegetables,sparkling wine,,,,,,,,,,,,,,,,,,,,,,
10839,berries,coffee,dessert,shopping bags,whipped/sour cream,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,
10840,long life bakery product,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10841,ice cream,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10842,coffee,dishes,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10843,butter,misc. beverages,pasta,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10844,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10845,berries,butter milk,citrus fruit,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10846,beef,cream,dental care,domestic eggs,grapes,hard cheese,mustard,nuts/prunes,onions,other vegetables,pastry,rolls/buns,root vegetables,shopping bags,sliced cheese,soft cheese,specialty bar,specialty chocolate,,,,,,,,,,,,,,
10847,citrus fruit,grapes,pork,potted plants,ready soups,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
10848,butter milk,curd,curd cheese,margarine,other vegetables,pip fruit,rice,root vegetables,tropical fruit,turkey,vinegar,yogurt,,,,,,,,,,,,,,,,,,,,
10849,margarine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10850,butter milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10851,beef,butter,butter milk,curd,domestic eggs,onions,other vegetables,pastry,shopping bags,tropical fruit,white bread,whole milk,yogurt,,,,,,,,,,,,,,,,,,,
10852,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10853,bottled water,domestic eggs,long life bakery product,pip fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
10854,rice,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10855,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10856,butter milk,chicken,frankfurter,long life bakery product,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,
10857,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10858,dish cleaner,domestic eggs,root vegetables,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10859,grapes,soda,waffles,zwieback,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10860,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10861,cream cheese,margarine,oil,other vegetables,pasta,potted plants,root vegetables,salty snack,,,,,,,,,,,,,,,,,,,,,,,,
10862,UHT-milk,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10863,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10864,beef,bottled water,misc. beverages,shopping bags,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
10865,bottled beer,pork,rolls/buns,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10866,candy,canned beer,shopping bags,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10867,margarine,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10868,baking powder,cat food,chocolate,flour,fruit/vegetable juice,hygiene articles,margarine,napkins,newspapers,soda,sugar,whipped/sour cream,yogurt,,,,,,,,,,,,,,,,,,,
10869,curd,dessert,newspapers,pip fruit,shopping bags,specialty bar,specialty chocolate,yogurt,,,,,,,,,,,,,,,,,,,,,,,,
10870,chicken,meat,oil,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
10871,bottled beer,coffee,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10872,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10873,bottled beer,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10874,fruit/vegetable juice,pasta,pet care,sausage,whipped/sour cream,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
10875,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10876,dishes,domestic eggs,herbs,other vegetables,pork,specialty bar,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
10877,chewing gum,frankfurter,other vegetables,specialty cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10878,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10879,canned beer,margarine,other vegetables,root vegetables,spread cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,
10880,domestic eggs,frozen meals,grapes,newspapers,other vegetables,processed cheese,salty snack,sausage,tropical fruit,white bread,,,,,,,,,,,,,,,,,,,,,,
10881,citrus fruit,frozen vegetables,fruit/vegetable juice,hygiene articles,instant coffee,other vegetables,pastry,pip fruit,root vegetables,sausage,soda,spread cheese,whipped/sour cream,whole milk,yogurt,,,,,,,,,,,,,,,,,
10882,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10883,canned vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10884,bottled beer,brown bread,misc. beverages,tropical fruit,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
10885,UHT-milk,candy,dental care,fruit/vegetable juice,grapes,newspapers,rolls/buns,shopping bags,soft cheese,yogurt,,,,,,,,,,,,,,,,,,,,,,
10886,pastry,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10887,brown bread,canned beer,domestic eggs,frankfurter,fruit/vegetable juice,margarine,shopping bags,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,
10888,bottled water,dessert,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10889,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10890,butter,rolls/buns,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10891,butter,chicken,chocolate,frankfurter,frozen vegetables,fruit/vegetable juice,ham,pastry,potted plants,processed cheese,red/blush wine,soda,white bread,whole milk,,,,,,,,,,,,,,,,,,
10892,cake bar,ice cream,pork,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10893,bottled beer,roll products,rolls/buns,whole milk,zwieback,,,,,,,,,,,,,,,,,,,,,,,,,,,
10894,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10895,canned beer,frozen fish,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10896,misc. beverages,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10897,frozen vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10898,cream cheese,frozen dessert,fruit/vegetable juice,grapes,hamburger meat,meat spreads,other vegetables,pip fruit,pork,root vegetables,soda,sugar,whole milk,yogurt,,,,,,,,,,,,,,,,,,
10899,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10900,UHT-milk,curd,dish cleaner,frankfurter,instant coffee,pastry,pip fruit,root vegetables,waffles,white bread,yogurt,,,,,,,,,,,,,,,,,,,,,
10901,butter,grapes,newspapers,other vegetables,toilet cleaner,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
10902,UHT-milk,beverages,butter,chocolate,curd,grapes,pastry,processed cheese,rolls/buns,sausage,sliced cheese,whipped/sour cream,yogurt,,,,,,,,,,,,,,,,,,,
10903,citrus fruit,liquor,shopping bags,specialty bar,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,
10904,butter,domestic eggs,fruit/vegetable juice,ham,hard cheese,ice cream,misc. beverages,yogurt,,,,,,,,,,,,,,,,,,,,,,,,
10905,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10906,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10907,beef,cat food,grapes,misc. beverages,pasta,pastry,pip fruit,processed cheese,rolls/buns,root vegetables,soda,specialty vegetables,tropical fruit,white bread,,,,,,,,,,,,,,,,,,
10908,bottled beer,cereals,long life bakery product,other vegetables,specialty cheese,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
10909,chocolate marshmallow,domestic eggs,frankfurter,ham,long life bakery product,other vegetables,pastry,rolls/buns,sausage,specialty bar,,,,,,,,,,,,,,,,,,,,,,
10910,canned fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10911,baking powder,other vegetables,pickled vegetables,rum,sausage,sliced cheese,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
10912,bottled water,candy,chewing gum,fruit/vegetable juice,long life bakery product,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
10913,specialty cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10914,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10915,bottled water,chewing gum,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10916,beef,bottled water,brown bread,chicken,curd,light bulbs,napkins,pastry,pickled vegetables,salty snack,sauces,soda,specialty bar,waffles,whole milk,,,,,,,,,,,,,,,,,
10917,artif. sweetener,dessert,flour,frankfurter,margarine,pastry,rum,sauces,skin care,sugar,tropical fruit,,,,,,,,,,,,,,,,,,,,,
10918,bottled water,candy,chicken,citrus fruit,frozen vegetables,fruit/vegetable juice,hard cheese,margarine,mayonnaise,napkins,other vegetables,pastry,pickled vegetables,processed cheese,rice,roll products,root vegetables,skin care,sugar,whole milk,yogurt,,,,,,,,,,,
10919,chicken,condensed milk,dishes,domestic eggs,kitchen towels,long life bakery product,napkins,pastry,processed cheese,semi-finished bread,shopping bags,soda,soft cheese,specialty chocolate,tropical fruit,waffles,white bread,whole milk,,,,,,,,,,,,,,
10920,bottled water,butter,canned beer,pastry,rolls/buns,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,
10921,UHT-milk,brown bread,citrus fruit,dessert,root vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
10922,beverages,liquor (appetizer),whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10923,citrus fruit,frankfurter,turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10924,beef,brown bread,citrus fruit,coffee,domestic eggs,other vegetables,rolls/buns,salty snack,shopping bags,soda,whole milk,,,,,,,,,,,,,,,,,,,,,
10925,chicken,other vegetables,specialty chocolate,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10926,baby food,brown bread,butter,butter milk,cake bar,chocolate,curd,dessert,finished products,frozen vegetables,fruit/vegetable juice,other vegetables,pasta,pastry,pip fruit,rolls/buns,salty snack,sausage,shopping bags,soft cheese,soups,tropical fruit,waffles,whipped/sour cream,white bread,yogurt,,,,,,
10927,UHT-milk,butter,citrus fruit,dessert,flower (seeds),shopping bags,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
10928,coffee,ice cream,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10929,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10930,UHT-milk,bottled water,detergent,frankfurter,frozen vegetables,herbs,margarine,mayonnaise,potted plants,salty snack,seasonal products,soda,yogurt,,,,,,,,,,,,,,,,,,,
10931,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10932,UHT-milk,chocolate,vinegar,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10933,UHT-milk,brown bread,canned beer,coffee,domestic eggs,liquor (appetizer),newspapers,soda,,,,,,,,,,,,,,,,,,,,,,,,
10934,cookware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10935,UHT-milk,bottled beer,butter,citrus fruit,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,
10936,brown bread,butter,cat food,hamburger meat,margarine,onions,other vegetables,sausage,tropical fruit,white bread,yogurt,,,,,,,,,,,,,,,,,,,,,
10937,Instant food products,bottled water,domestic eggs,frankfurter,other vegetables,pastry,rolls/buns,root vegetables,soups,,,,,,,,,,,,,,,,,,,,,,,
10938,UHT-milk,citrus fruit,cream cheese,dish cleaner,house keeping products,shopping bags,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
10939,bottled water,chewing gum,fruit/vegetable juice,ham,popcorn,processed cheese,semi-finished bread,shopping bags,soda,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,
10940,butter,chicken,citrus fruit,ham,herbs,napkins,other vegetables,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,
10941,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10942,candy,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10943,bottled beer,cream cheese,other vegetables,pip fruit,soda,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,
10944,UHT-milk,coffee,domestic eggs,frankfurter,frozen dessert,frozen meals,mustard,pastry,rolls/buns,sausage,,,,,,,,,,,,,,,,,,,,,,
10945,citrus fruit,cocoa drinks,hamburger meat,packaged fruit/vegetables,rolls/buns,specialty chocolate,vinegar,,,,,,,,,,,,,,,,,,,,,,,,,
10946,candy,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10947,bottled water,flower (seeds),rolls/buns,root vegetables,sausage,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,
10948,coffee,frozen meals,frozen vegetables,instant coffee,pickled vegetables,sliced cheese,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
10949,bottled beer,cat food,coffee,dish cleaner,domestic eggs,kitchen towels,margarine,meat,napkins,other vegetables,pet care,red/blush wine,sliced cheese,soft cheese,whole milk,yogurt,,,,,,,,,,,,,,,,
10950,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10951,UHT-milk,instant coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10952,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10953,semi-finished bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10954,misc. beverages,shopping bags,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10955,cat food,dish cleaner,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
